POP1	POP2	ASSIGNER_SIM01	DIVERSITY_SIM01	GENODIVE_SIM01	HIERFSTAT_SIM01	STAMPP_SIM01	STRATAG_SIM01	SNPRELATE_MEAN_SIM01	SNPRELATE_WEIGHTED_SIM01
POP_1	POP_2	0.514	0.514	0.514	0.514	0.514	0.514	0.3141	0.514
POP_1	POP_3	0.4811	0.4811	0.4811	0.4811	0.4811	0.4811	0.3069	0.4811
POP_1	POP_4	0.4245	0.4245	0.4245	0.4245	0.4245	0.4245	0.2842	0.4244
POP_1	POP_5	0.4098	0.4098	0.4098	0.4098	0.4098	0.4098	0.2664	0.4098
POP_2	POP_3	0.4118	0.4118	0.4118	0.4118	0.4118	0.4118	0.2747	0.4119
POP_2	POP_4	0.3696	0.3696	0.3696	0.3696	0.3696	0.3696	0.2516	0.3696
POP_2	POP_5	0.3598	0.3598	0.3598	0.3598	0.3598	0.3598	0.2396	0.3599
POP_3	POP_4	0.3555	0.3555	0.3555	0.3555	0.3555	0.3555	0.2519	0.3555
POP_3	POP_5	0.3413	0.3413	0.3413	0.3413	0.3413	0.3413	0.2363	0.3413
POP_4	POP_5	0.3006	0.3006	0.3006	0.3006	0.3006	0.3006	0.2122	0.3006
